CleanReportName,ReportName,MyReportName,AverageManualScore,Years
FINAL-Q4-17-Shareholder-Letter,COMBINED-Q4-17-Shareholder-Letter-FINAL,COMBINED-Q4-17-Shareholder-Letter-FINAL,0.6,2017
FINAL-Q2-15-Shareholder-Letter,FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.3333333333,2015
FINAL-Q3-15-Shareholder-Letter,FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.1666666667,2015
FINAL-Q3-16-Shareholder-Letter,FINAL_Q3_Letter,FINAL_Q3_Letter,0.4833333333,2016
FINAL-Q1-18-Shareholder-Letter,FINAL-Q1-18-Shareholder-Letter,FINAL-Q1-18-Shareholder-Letter,0.5,2018
FINAL-Q1-19-Shareholder-Letter,FINAL-Q1-19-Shareholder-Letter,FINAL-Q1-19-Shareholder-Letter,0.4166666667,2019
FINAL-Q1-20-Shareholder-Letter,FINAL-Q1-20-Shareholder-Letter,FINAL-Q1-20-Shareholder-Letter,0.0,2020
FINAL-Q1-21-Shareholder-Letter,FINAL-Q1-21-Shareholder-Letter,FINAL-Q1-21-Shareholder-Letter,0.4166666667,2021
FINAL-Q1-22-Shareholder-Letter,FINAL-Q1-22-Shareholder-Letter,FINAL-Q1-22-Shareholder-Letter,-0.08333333333,2022
FINAL-Q1-23-Shareholder-Letter,Final-Q1-23-Shareholder-Letter,Final-Q1-23-Shareholder-Letter,0.5166666667,2023
FINAL-Q2-18-Shareholder-Letter,FINAL-Q2-18-Shareholder-Letter,FINAL-Q2-18-Shareholder-Letter,0.3333333333,2018
FINAL-Q2-20-Shareholder-Letter,FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.3333333333,2020
FINAL-Q2-21-Shareholder-Letter,FINAL-Q2-21-Shareholder-Letter,FINAL-Q2-21-Shareholder-Letter,0.3333333333,2021
FINAL-Q2-22-Shareholder-Letter,FINAL-Q2-22-Shareholder-Letter,FINAL-Q2-22-Shareholder-Letter,0.3333333333,2022
FINAL-Q2-23-Shareholder-Letter,FINAL-Q2-23-Shareholder-Letter,FINAL-Q2-23-Shareholder-Letter,0.4166666667,2023
FINAL-Q3-18-Shareholder-Letter,FINAL-Q3-18-Shareholder-Letter,FINAL-Q3-18-Shareholder-Letter,0.4166666667,2018
FINAL-Q3-19-Shareholder-Letter,FINAL-Q3-19-Shareholder-Letter,FINAL-Q3-19-Shareholder-Letter,0.25,2019
FINAL-Q3-20-Shareholder-Letter,FINAL-Q3-20-Shareholder-Letter,FINAL-Q3-20-Shareholder-Letter,-0.08333333333,2020
FINAL-Q3-21-Shareholder-Letter,FINAL-Q3-21-Shareholder-Letter,FINAL-Q3-21-Shareholder-Letter,0.5,2021
FINAL-Q3-22-Shareholder-Letter,FINAL-Q3-22-Shareholder-Letter,FINAL-Q3-22-Shareholder-Letter,0.4166666667,2022
FINAL-Q4-18-Shareholder-Letter,FINAL-Q4-18-Shareholder-Letter,FINAL-Q4-18-Shareholder-Letter,0.4166666667,2018
FINAL-Q4-19-Shareholder-Letter,FINAL-Q4-19-Shareholder-Letter,FINAL-Q4-19-Shareholder-Letter,0.4166666667,2019
FINAL-Q4-20-Shareholder-Letter,FINAL-Q420-Shareholder-Letter,FINAL-Q420-Shareholder-Letter,0.5666666667,2020
FINAL-Q4-21-Shareholder-Letter,FINAL-Q4-21-Shareholder-Letter,FINAL-Q4-21-Shareholder-Letter,0.25,2021
FINAL-Q4-22-Shareholder-Letter,FINAL-Q4-22-Shareholder-Letter,FINAL-Q4-22-Shareholder-Letter,0.3166666667,2022
FINAL-Q1-13-Shareholder-Letter,Investor_Letter_Q12013,Investor_Letter_Q12013,0.0,2013
FINAL-Q1-12-Shareholder-Letter,Investor-Letter-Q1-2012,Investor-Letter-Q1-2012,0.0,2012
FINAL-Q2-12-Shareholder-Letter,Investor-Letter-Q2-2012-07.24.12,Investor-Letter-Q2-2012-07,0.4166666667,2012
FINAL-Q3-11-Shareholder-Letter,Investor-Letter-Q3-2011,Investor-Letter-Q3-2011,-0.08333333333,2011
FINAL-Q3-12-Shareholder-Letter,Investor-Letter-Q3-2012-10.23.12,Investor-Letter-Q3-2012-10,0.25,2012
FINAL-Q4-11-Shareholder-Letter,Investor-Letter-Q4-2011,Investor-Letter-Q4-2011,0.3333333333,2011
FINAL-Q4-12-Shareholder-Letter,Investor-Letter-Q42012-01.23.13,Investor-Letter-Q42012-01,0.4,2012
FINAL-Q2-14-Shareholder-Letter,July2014EarningsLetter_7.21.14_final,July2014EarningsLetter_7,0.4833333333,2014
FINAL-Q2-11-Shareholder-Letter,July-Investor-Letter-1130am,July-Investor-Letter-1130am,0.3333333333,2011
FINAL-Q1-15-Shareholder-Letter,Q1_15_Earnings_Letter_final_tables,Q1_15_Earnings_Letter_final_tables,0.3333333333,2015
FINAL-Q1-11-Shareholder-Letter,Q1-11-Letter-to-shareholders,Q1-11-Letter-to-shareholders,0.4333333333,2011
FINAL-Q1-14-Shareholder-Letter,Q114-Earnings-Letter-4.21.14-final,Q114-Earnings-Letter-4,0.1666666667,2014
FINAL-Q1-16-Shareholder-Letter,Q116LettertoShareholders_W_TABLES_,Q116LettertoShareholders_W_TABLES_,0.5,2016
FINAL-Q1-17-Shareholder-Letter,Q117ShareholderLetterV2FINAL,Q117ShareholderLetterV2FINAL,0.4333333333,2017
FINAL-Q2-17-Shareholder-Letter,Q2_17_Shareholder_Letter,Q2_17_Shareholder_Letter,0.4166666667,2017
FINAL-Q2-13-Shareholder-Letter,Q213-Investor-Letter,Q213-Investor-Letter,0.4833333333,2013
FINAL-Q2-16-Shareholder-Letter,Q216LettertoShareholders_FINAL_w_Tables,Q216LettertoShareholders_FINAL_w_Tables,0.125,2016
FINAL-Q2-19-Shareholder-Letter,Q2-19-Shareholder-Letter-FINAL,Q2-19-Shareholder-Letter-FINAL,0.1666666667,2019
FINAL-Q3-14-Shareholder-Letter,Q3_14_Letter_to_shareholders,Q3_14_Letter_to_shareholders,0.5,2014
FINAL-Q3-17-Shareholder-Letter,Q3_17_Shareholder_Letter_COMBINED,Q3_17_Shareholder_Letter_COMBINED,0.525,2017
FINAL-Q3-13-Shareholder-Letter,Q313-Earnings-Letter-10.21.13-10.30am,Q313-Earnings-Letter-10,0.65,2013
FINAL-Q4-14-Shareholder-Letter,Q4_14_Letter_to_shareholders,Q4_14_Letter_to_shareholders,0.4333333333,2014
FINAL-Q4-15-Shareholder-Letter,Q4_15_Letter_to_Shareholders_-_COMBINED,Q4_15_Letter_to_Shareholders_-_COMBINED,0.4166666667,2015
FINAL-Q4-13-Shareholder-Letter,Q4-13-Letter-to-shareholders,Q4-13-Letter-to-shareholders,0.5666666667,2013
FINAL-Q4-16-Shareholder-Letter,Q416ShareholderLetter,Q416ShareholderLetter,0.4833333333,2016
