ReportName,AverageManualScore,Roberta Score,Roberta Error
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.6,0.23,0.37
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.33,0.58,0.25
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.17,0.57,0.4
FINAL_Q3_Letter,0.48,0.41,0.08
FINAL-Q1-18-Shareholder-Letter,0.5,0.58,0.08
FINAL-Q1-19-Shareholder-Letter,0.42,0.6,0.18
FINAL-Q1-20-Shareholder-Letter,0,0.5,0.5
FINAL-Q1-21-Shareholder-Letter,0.42,0.52,0.1
FINAL-Q1-22-Shareholder-Letter,-0.08,0.31,0.39
Final-Q1-23-Shareholder-Letter,0.52,0.12,0.4
FINAL-Q2-18-Shareholder-Letter,0.33,0.26,0.07
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.33,0.54,0.2
FINAL-Q2-21-Shareholder-Letter,0.33,0.47,0.14
FINAL-Q2-22-Shareholder-Letter,0.33,0.1,0.24
FINAL-Q2-23-Shareholder-Letter,0.42,0.15,0.27
FINAL-Q3-18-Shareholder-Letter,0.42,0.4,0.01
FINAL-Q3-19-Shareholder-Letter,0.25,0.44,0.19
FINAL-Q3-20-Shareholder-Letter,-0.08,0.55,0.63
FINAL-Q3-21-Shareholder-Letter,0.5,0.6,0.1
FINAL-Q3-22-Shareholder-Letter,0.42,0.1,0.32
FINAL-Q4-18-Shareholder-Letter,0.42,0.23,0.19
FINAL-Q4-19-Shareholder-Letter,0.42,0.29,0.13
FINAL-Q420-Shareholder-Letter,0.57,0.52,0.05
FINAL-Q4-21-Shareholder-Letter,0.25,0.47,0.22
FINAL-Q4-22-Shareholder-Letter,0.32,0.16,0.16
Investor_Letter_Q12013,0,0.21,0.21
Investor-Letter-Q1-2012,0,-0.05,0.05
Investor-Letter-Q2-2012-07.24.12,0.42,0.34,0.08
Investor-Letter-Q3-2011,-0.08,0.03,0.11
Investor-Letter-Q3-2012-10.23.12,0.25,0.35,0.1
Investor-Letter-Q4-2011,0.33,-0.08,0.42
Investor-Letter-Q42012-01.23.13,0.4,0.26,0.14
July2014EarningsLetter_7.21.14_final,0.48,0.38,0.11
July-Investor-Letter-1130am,0.33,0.18,0.16
Q1_15_Earnings_Letter_final_tables,0.33,0.44,0.1
Q1-11-Letter-to-shareholders,0.43,0.31,0.13
Q114-Earnings-Letter-4.21.14-final,0.17,0.28,0.12
Q116LettertoShareholders_W_TABLES_,0.5,0.53,0.03
Q117ShareholderLetterV2FINAL,0.43,0.49,0.05
Q2_17_Shareholder_Letter,0.42,0.26,0.16
Q213-Investor-Letter,0.48,0.45,0.03
Q216LettertoShareholders_FINAL_w_Tables,0.13,0.37,0.25
Q2-19-Shareholder-Letter-FINAL,0.17,0.49,0.32
Q3_14_Letter_to_shareholders,0.5,0.34,0.16
Q3_17_Shareholder_Letter_COMBINED,0.53,0.31,0.22
Q313-Earnings-Letter-10.21.13-10.30am,0.65,0.4,0.25
Q4_14_Letter_to_shareholders,0.43,0.24,0.19
Q4_15_Letter_to_Shareholders_-_COMBINED,0.42,0.55,0.13
Q4-13-Letter-to-shareholders,0.57,0.23,0.34
Q416ShareholderLetter,0.48,0.44,0.05
