pdf_name,positive_sentiment_prob
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.5386364459991455
FINAL-Q1-18-Shareholder-Letter,0.5390278100967407
FINAL-Q1-19-Shareholder-Letter,0.5382963418960571
FINAL-Q1-20-Shareholder-Letter,0.5378144979476929
FINAL-Q1-21-Shareholder-Letter,0.5409373641014099
FINAL-Q1-22-Shareholder-Letter,0.5408325791358948
Final-Q1-23-Shareholder-Letter,0.5408132672309875
FINAL-Q2-18-Shareholder-Letter,0.5394085049629211
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.5362597107887268
FINAL-Q2-21-Shareholder-Letter,0.5405004024505615
FINAL-Q2-22-Shareholder-Letter,0.5396026968955994
FINAL-Q2-23-Shareholder-Letter,0.5404120683670044
FINAL-Q3-18-Shareholder-Letter,0.5394067764282227
FINAL-Q3-19-Shareholder-Letter,0.5396483540534973
FINAL-Q3-20-Shareholder-Letter,0.5365179777145386
FINAL-Q3-21-Shareholder-Letter,0.5409924983978271
FINAL-Q3-22-Shareholder-Letter,0.5404307842254639
FINAL-Q4-18-Shareholder-Letter,0.5386834144592285
FINAL-Q4-19-Shareholder-Letter,0.537490963935852
FINAL-Q4-21-Shareholder-Letter,0.5407008528709412
FINAL-Q4-22-Shareholder-Letter,0.5399569272994995
FINAL-Q420-Shareholder-Letter,0.5374729633331299
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.5392457246780396
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.5390363931655884
FINAL_Q3_Letter,0.5398015379905701
Investor-Letter-Q1-2012,0.5391625761985779
Investor-Letter-Q2-2012-07,0.5388374924659729
Investor-Letter-Q3-2011,0.5355052351951599
Investor-Letter-Q3-2012-10,0.5385258793830872
Investor-Letter-Q4-2011,0.5387545824050903
Investor-Letter-Q42012-01,0.538418173789978
Investor_Letter_Q12013,0.5384827852249146
July-Investor-Letter-1130am,0.5388316512107849
July2014EarningsLetter_7,0.5385939478874207
Q1-11-Letter-to-shareholders,0.5390202403068542
Q114-Earnings-Letter-4,0.537700891494751
Q116LettertoShareholders_W_TABLES_,0.5390105843544006
Q117ShareholderLetterV2FINAL,0.5394553542137146
Q1_15_Earnings_Letter_final_tables,0.5392649173736572
Q2-19-Shareholder-Letter-FINAL,0.5390679836273193
Q213-Investor-Letter,0.538526713848114
Q216LettertoShareholders_FINAL_w_Tables,0.538896918296814
Q2_17_Shareholder_Letter,0.5384332537651062
Q313-Earnings-Letter-10,0.5385931730270386
Q3_14_Letter_to_shareholders,0.5376978516578674
Q3_17_Shareholder_Letter_COMBINED,0.5381410717964172
Q4-13-Letter-to-shareholders,0.5381330847740173
Q416ShareholderLetter,0.5390920042991638
Q4_14_Letter_to_shareholders,0.5382031798362732
Q4_15_Letter_to_Shareholders_-_COMBINED,0.5388702750205994
